59,953,327,Alan Huynh,Research and Development,Female,5,3,11.33,18,307225,USD,4,91.2169719886211,1,43.0310677670769,71,8,1,2
118,203,194,Amanda Furrier,Product Management,Female,4,3,2.41,15,307456,USD,3,76.8520616477808,1,51.6652989887806,156,7,1,2
176,9121,157,Andrew Gleason,Product Management,Female,3,3,0.33,14,193432,USD,2,61.3200595346111,1,53.7887605500543,219,7,1,2
235,3,308,Ariela Collins,Research and Development,Female,7,1,5.53,12,205076,BRL,3,51.8272931608315,1,36.3789807091127,285,8,1,1
294,1474,75,Bernie Zipprich,Business Development,Female,4,3,0.1,12,221702,USD,2,70.3958869949145,1,29.280364821836,372,2,1,2
353,8991,303,Bruno Jorri,Business Development,Male,4,3,0.68,12,166600,USD,3,89.035661927931,1,29.3687768627242,459,2,2,2
412,8452,50,Cary Arberg,Sales,Male,7,1,3.42,10,190083,BRL,4,86.952928211565,1,43.8070125606903,537,9,2,1
471,69445,23,Chrisla Rodrigues,Marketing,Male,4,3,5.79,10,111142,USD,4,60.2706164690383,1,66.6172787242049,614,6,2,2
529,4540,279,Cory Magrys,Human Resources,Male,7,1,0.05,8,160758,BRL,4,75.7090279177134,1,40.6882251263194,703,4,2,1
588,403,279,Danny Lee,Accounting,Female,4,3,11.43,8,171503,USD,4,67.686417739316,1,34.4529484702722,777,1,1,2
647,3028,63,Divya Reddy,Human Resources,Female,4,3,1.02,8,86424,USD,3,83.0802489033949,1,51.4581957985824,867,4,1,2
706,769,213,Emilio Mallia,Research and Development,Female,8,0,1.96,7,51921,AUD,3,61.7886721211507,1,83.6036075471768,962,8,1,4
766,1745,68,Eugene Ahn,Business Development,Male,4,3,0.85,7,83875,USD,3,89.2650372068463,1,49.6071513763358,1036,2,2,2
824,1466,264,Freddy Herneoja,Support,Male,7,1,0.28,6,83618,BRL,2,64.6403293358089,1,52.3325503372477,1126,11,2,1
884,579,250,Guilherme Ribeiro,Research and Development,Male,4,3,1.4,6,116705,USD,3,80.5452918663567,1,23.9737588335784,1227,8,2,2
885,3447,259,Guilherme Sant Ana,Accounting,Female,4,3,7.29,6,122237,USD,2,75.1610630464107,1,41.8617977700887,1228,1,1,2
886,15,250,Guilherme Utzig,Services,Female,4,3,1.1,6,141182,USD,2,73.8258993606507,1,46.2311871132724,1229,10,1,2
887,89367,264,Guillaume Blot,Business Development,Female,4,3,1.63,6,111519,USD,3,58.3676301403674,1,48.6143768482682,1230,2,1,2
888,7358,265,Guillermina Ortiz,Training,Female,4,3,0.91,6,133747,USD,3,65.8641191187653,1,39.1543643626774,1231,12,1,2
