707,Nalani Moses,Engineering,Female,Experience,Subject Matter Expert,skill,Social Platforms,4,False,1918,3,1,7,248,85,1,LIGHT SUPERVISION
531,Meryl Ardy,Legal,Male,Consulting & Strategy,Business Strategy,skill,Mobile Strategy,3,True,1888,5,2,9,17,27,1,LIGHT SUPERVISION
348,Jeremias Masterson,Research and Development,Male,Experience,Subject Matter Expert,skill,Connected Products,2,True,1508,8,2,7,269,85,1,HEAVY SUPERVISION
273,Carrissa Cammomile,Engineering,Female,Technology,Web Development,skill,Web Development,3,True,535,3,1,12,83,64,1,LIGHT SUPERVISION
2,Idalia Lello,Product Management,Female,Consulting & Strategy,Business Strategy,skill,Ecosystem Strategy,0,False,1347,7,1,9,171,27,1,WANTS TO LEARN
842,Katharina Gellett,Legal,Female,Business Skills,Client Relations,skill,Client Relations,4,False,1729,5,1,1,90,70,1,LIGHT SUPERVISION
368,Winslow Benettini,Human Resources,Male,Business Skills,Public Speaking,skill,Public Speaking,2,True,2138,4,2,1,74,53,1,HEAVY SUPERVISION
3,Martica Trathen,Human Resources,Female,Design,Photography,skill,Photography,4,False,1872,4,1,11,84,65,1,LIGHT SUPERVISION
536,Christie Stirley,Product Management,Male,Design,Product Design,skill,Product Design,4,False,625,7,2,11,216,157,1,LIGHT SUPERVISION
104,Cale MacSkeaghan,Sales,Male,Business Skills,Pitching,skill,Pitching,0,False,482,9,2,1,69,50,1,WANTS TO LEARN
370,Joice Ruse,Sales,Female,Design,Character Design,skill,Character Design,3,True,1599,9,1,11,228,165,1,LIGHT SUPERVISION
537,Elihu Leal,Accounting,Male,Production,AR / VR / MR Production,skill,AR / VR / MR Production,1,True,938,1,2,8,132,95,1,HEAVY SUPERVISION
371,Wilbur Ballentime,Human Resources,Male,Copywriting,Campaign Copy,skill,Campaign Copy,2,True,2130,4,2,4,6,5,1,HEAVY SUPERVISION
329,Rickey Cowup,Product Management,Male,Technology,Prototyping,skill,Prototyping,4,True,1988,7,2,12,11,8,1,LIGHT SUPERVISION
894,Karyl Allkins,Engineering,Female,Experience,Think,skill,Design Research,1,True,1722,3,1,7,60,66,1,HEAVY SUPERVISION
358,Yettie Suett,Sales,Female,Research,Qualitative Research,skill,Qualitative Research,3,True,2148,9,1,5,204,149,1,LIGHT SUPERVISION
382,Neill Thurling,Accounting,Male,Production,"Media Planning, Buying and Connections",skill,Connections / Strategy Production,4,True,1923,1,2,8,270,61,1,LIGHT SUPERVISION
282,Sigrid Gravells,Research and Development,Female,Concepting,TV Concepting,skill,TV Concepting,4,True,2035,8,1,10,180,133,1,LIGHT SUPERVISION
896,Lorin Rummer,Product Management,Male,Technology,Infrastructure/DevOps,skill,Infrastructure/DevOps,3,True,1833,7,2,12,44,29,1,LIGHT SUPERVISION
331,Tyson MacKain,Business Development,Male,Consulting & Strategy,Persona Development,skill,Persona Development,3,False,2093,2,2,9,122,87,1,LIGHT SUPERVISION
361,Krissie Westraw,Support,Female,Production,Campaign,skill,OLA Production,3,True,1798,11,1,8,249,159,1,LIGHT SUPERVISION
232,Otha Clampett,Marketing,Female,Analysis & Data,Measurement Strategy & Deployment,skill,Measurement Vendor Selection,1,False,1952,6,1,2,133,47,1,HEAVY SUPERVISION
844,Cullan Ashmore,Legal,Male,Production,Web & Mobile Development,skill,Light Website Dev Production,2,True,722,5,2,8,37,9,1,HEAVY SUPERVISION
845,Hyacinthie Burree,Accounting,Female,Analysis & Data,Data Modeling,skill,Data Modeling,0,False,1338,1,1,2,62,43,1,WANTS TO LEARN
672,Tadeas McRonald,Marketing,Male,Design,Visual Effects,skill,Visual Effects,4,True,2057,6,2,11,146,105,1,LIGHT SUPERVISION
319,Giacopo Meeny,Human Resources,Male,Consulting & Strategy,Product Strategy,skill,Product Strategy,3,False,1178,4,2,9,141,100,1,LIGHT SUPERVISION
583,Jeddy Pragnall,Research and Development,Male,Technology,Enterprise Architecture,skill,Enterprise Architecture,3,True,1463,8,2,12,169,124,1,LIGHT SUPERVISION
542,Vivi Christophersen,Product Management,Female,Experience,Make,skill,Wireframing,1,True,2119,7,1,7,95,143,1,HEAVY SUPERVISION
12,Elora Aizic,Marketing,Female,Design,Responsive Design,skill,Responsive Design,2,True,949,6,1,11,1,1,1,HEAVY SUPERVISION
673,Nita Hegg,Training,Female,Technology,Functional Specifications,skill,Functional Specifications,3,True,1937,12,1,12,20,14,1,LIGHT SUPERVISION
544,Parke Felder,Support,Male,Business Skills,Selling Work,skill,Selling Work,3,False,1958,11,2,1,150,107,1,LIGHT SUPERVISION
586,Stanfield Flower,Research and Development,Male,Business Skills,Public Speaking,skill,Public Speaking,3,True,2044,8,2,1,74,53,1,LIGHT SUPERVISION
787,Laurella Tollfree,Human Resources,Female,Production,Business Consulting,skill,Technology Consulting Production,3,False,1811,4,1,8,203,15,1,LIGHT SUPERVISION
338,Wendall Leroux,Training,Male,Experience,Think,skill,Experience Maps,0,False,2128,12,2,7,8,66,1,WANTS TO LEARN
853,Murry Goodee,Sales,Male,Technology,CMS Platforms,skill,CMS Platforms,4,True,1910,9,2,12,215,156,1,LIGHT SUPERVISION
339,Eliza Kelly,Marketing,Female,Consulting & Strategy,Business Analysis,skill,Business Analysis,2,True,942,6,1,9,196,144,1,HEAVY SUPERVISION
339,Eliza Kelly,Marketing,Female,Business Skills,Client Presentations,skill,Client Presentations,3,True,942,6,1,1,261,189,1,LIGHT SUPERVISION
678,Cherin Glamart,Research and Development,Female,Production,Content Production,skill,Lightweight Content Production,2,True,587,8,1,8,288,153,1,HEAVY SUPERVISION
387,Nevsa Tonry,Support,Female,Production,Campaign,skill,Integrated Campaign Production,0,False,1929,11,1,8,209,159,1,WANTS TO LEARN
241,Cortie Kamiyama,Product Management,Male,Design,Brand Design,skill,Brand Design,2,True,702,7,2,11,259,187,1,HEAVY SUPERVISION
589,Yvette Raubenheimer,Business Development,Female,Consulting & Strategy,Content Strategy,skill,Content Strategy,4,True,2152,2,1,9,193,142,1,LIGHT SUPERVISION
340,Ramsey Scarre,Sales,Male,Business Skills,Pitching,skill,Pitching,2,False,1977,9,2,1,69,50,1,HEAVY SUPERVISION
